Priority,Job Title,Company,Location,Match Score,Match Quality,Skills Coverage,Missing Skills,Gap Severity,Experience Match,Recommendation,Source,URL
✅ HIGH,Senior Data Scientist,Cloud Nine Tech,Selangor,73.2%,Strong Match,100%,None,None - Perfect match!,No specific requirement,Highly recommended,Synthetic (for analysis),https://jobs.example.com/Machine-Learning-Engineer-2
✅ HIGH,Data Scientist - Google Jobs,Various Companies (via Google),Malaysia,72.6%,Strong Match,100%,None,None,No specific requirement,Highly recommended,Google Jobs,https://www.google.com/search?q=Data+Scientist+jobs+in+Malaysia&ibp=htl;jobs
✅ HIGH,Machine Learning Engineer - Google Jobs,Various Companies (via Google),Malaysia,72.6%,Strong Match,100%,None,None - Perfect match!,No specific requirement,Highly recommended,Google Jobs,https://www.google.com/search?q=Machine+Learning+Engineer+jobs+in+Malaysia&ibp=htl;jobs
✅ HIGH,Python Developer - Google Jobs,Various Companies (via Google),Malaysia,72.6%,Strong Match,100%,None,None - Perfect match!,No specific requirement,Highly recommended,Google Jobs,https://www.google.com/search?q=Python+Developer+jobs+in+Malaysia&ibp=htl;jobs
✅ HIGH,Ai Engineer - Google Jobs,Various Companies (via Google),Malaysia,72.6%,Strong Match,100%,None,None,No specific requirement,Highly recommended,Google Jobs,https://www.google.com/search?q=AI+Engineer+jobs+in+Malaysia&ibp=htl;jobs
✅ HIGH,Data Scientist - LinkedIn Jobs,Various Companies (via LinkedIn),Malaysia,72.6%,Strong Match,100%,None,None,No specific requirement,Highly recommended,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Data+Scientist&location=Malaysia
✅ HIGH,Machine Learning Engineer - LinkedIn Jobs,Various Companies (via LinkedIn),Malaysia,72.6%,Strong Match,100%,None,None - Perfect match!,No specific requirement,Highly recommended,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Machine+Learning+Engineer&location=Malaysia
✅ HIGH,Python Developer - LinkedIn Jobs,Various Companies (via LinkedIn),Malaysia,72.6%,Strong Match,100%,None,None - Perfect match!,No specific requirement,Highly recommended,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Python+Developer&location=Malaysia
✅ HIGH,Ai Engineer - LinkedIn Jobs,Various Companies (via LinkedIn),Malaysia,72.6%,Strong Match,100%,None,None,No specific requirement,Highly recommended,LinkedIn,https://www.linkedin.com/jobs/search/?keywords=AI+Engineer&location=Malaysia
✅ HIGH,Data Science Consultant,Smart Systems MY,Remote,72.6%,Strong Match,100%,None,None - Perfect match!,No specific requirement,Highly recommended,Synthetic (for analysis),https://jobs.example.com/Data-Scientist-1
📝 MEDIUM,Data Science Consultant,Cloud Nine Tech,Malaysia,68.1%,Good Match,89%,aws,Minor - Easily addressable,No specific requirement,Good opportunity,Synthetic (for analysis),https://jobs.example.com/Machine-Learning-Engineer-3
📝 MEDIUM,Data Scientist,Global Tech Corp,Remote,65.9%,Good Match,83%,aws,Minor - Easily addressable,No specific requirement,Good opportunity,Synthetic (for analysis),https://jobs.example.com/Python-Developer-2
📝 MEDIUM,Senior Data Scientist,Digital Solutions Sdn Bhd,Kuala Lumpur,65.2%,Good Match,80%,"tableau, data visualization",Minor - Easily addressable,No specific requirement,Good opportunity,Synthetic (for analysis),https://jobs.example.com/Machine-Learning-Engineer-4
📝 MEDIUM,Senior Data Scientist,Tech Innovations Malaysia,Selangor,62.3%,Good Match,73%,"tableau, data visualization, aws",Moderate - Requires preparation,No specific requirement,Good opportunity,Synthetic (for analysis),https://jobs.example.com/Data-Scientist-2
📝 MEDIUM,AI Data Scientist,Future Labs,Kuala Lumpur,61.7%,Good Match,73%,"tableau, data visualization, aws",Moderate - Requires preparation,No specific requirement,Good opportunity,Synthetic (for analysis),https://jobs.example.com/Data-Scientist-4
📝 MEDIUM,AI Data Scientist,Cloud Nine Tech,Remote,59.3%,Good Match,67%,"tableau, data visualization",Moderate - Requires preparation,No specific requirement,Good opportunity,Synthetic (for analysis),https://jobs.example.com/Python-Developer-4
📝 MEDIUM,Junior Data Scientist,Digital Solutions Sdn Bhd,Selangor,58.7%,Good Match,67%,"tableau, data visualization",Moderate - Requires preparation,No specific requirement,Good opportunity,Synthetic (for analysis),https://jobs.example.com/Python-Developer-1
📝 MEDIUM,Data Science Consultant,Tech Innovations Malaysia,Remote,57.6%,Good Match,62%,"tableau, data visualization, aws",Moderate - Requires preparation,No specific requirement,Good opportunity,Synthetic (for analysis),https://jobs.example.com/Python-Developer-3
⚠️ LOW,Senior Data Scientist,Digital Solutions Sdn Bhd,Kuala Lumpur,49.2%,Fair Match,40%,"tableau, data visualization, aws",Significant - Needs work,No specific requirement,Consider if interested,Synthetic (for analysis),https://jobs.example.com/Data-Scientist-3
⚠️ LOW,Junior Data Scientist,Tech Innovations Malaysia,Malaysia,42.0%,Fair Match,25%,"tableau, aws, data visualization",Critical - May not be suitable,No specific requirement,Consider if interested,Synthetic (for analysis),https://jobs.example.com/Machine-Learning-Engineer-1
